House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh
Villa,5,7,4,6.65,10.83,24,1.04,1.84,7.37,37.6,Thursday,Summer,0,20.13
Independent House,7,6,7,5.4,9.03,24,0.0,1.12,6.26,35.4,Wednesday,Summer,0,17.05
Independent House,7,4,10,6.66,12.53,24,0.77,1.17,6.37,32.9,Saturday,Summer,1,18.81
Apartment,5,3,14,2.05,4.13,24,0.0,0.37,8.68,29.2,Sunday,Spring/Autumn,1,9.56
Villa,4,8,4,0.0,2.56,24,0.0,2.09,6.73,4.7,Saturday,Winter,1,7.45
Apartment,6,4,12,9.74,11.47,24,0.8,1.43,4.37,40.0,Saturday,Summer,1,23.79
Apartment,4,2,12,4.31,4.4,24,0.0,0.57,5.12,20.9,Sunday,Spring/Autumn,1,12.15
Independent House,5,3,5,8.17,9.98,24,1.18,0.81,2.04,38.9,Sunday,Summer,1,19.35
Apartment,2,3,10,0.0,7.24,24,0.0,0.57,6.27,9.8,Wednesday,Winter,0,4.97
Villa,3,5,11,0.35,6.79,24,0.0,1.21,7.83,25.4,Thursday,Spring/Autumn,0,6.53
Apartment,7,4,5,3.16,2.62,24,0.0,1.04,5.41,24.0,Tuesday,Spring/Autumn,0,11.45
Independent House,1,4,4,8.85,11.93,24,0.0,2.02,,43.7,Friday,Summer,0,18.07
Villa,2,8,12,1.74,9.34,24,0.0,2.68,8.01,24.0,Tuesday,Spring/Autumn,0,10.04
Independent House,6,5,7,2.31,1.84,24,0.71,1.31,4.39,12.0,Sunday,Winter,1,11.23
Independent House,2,5,14,8.6,13.22,24,0.0,2.14,3.46,38.8,Saturday,Summer,1,23.49
Independent House,4,6,9,6.67,9.17,24,0.0,1.77,7.04,37.3,Saturday,Summer,1,19.1
Villa,3,8,4,0.23,2.67,24,1.1,2.37,7.82,12.9,Tuesday,Winter,0,8.05
Independent House,6,4,8,0.67,3.55,24,0.0,1.3,6.43,4.4,Saturday,Winter,1,8.14
Apartment,2,2,10,12.64,12.57,24,0.66,0.0,3.04,42.7,Saturday,Summer,1,25.52
Apartment,5,4,11,1.81,1.98,24,1.18,1.15,5.5,20.3,Friday,Spring/Autumn,0,9.32
Apartment,2,2,4,0.0,4.4,24,1.0,0.46,5.08,12.3,Sunday,Winter,1,4.82
Apartment,6,3,4,0.86,0.3,24,0.92,0.5,4.15,15.9,Friday,Winter,1,7.96
Independent House,6,3,10,5.04,12.04,24,0.0,0.56,6.12,38.9,Friday,Summer,0,14.59
Apartment,6,3,13,0.0,1.48,24,0.0,1.66,3.22,6.4,Tuesday,Winter,0,6.04
Independent House,6,4,7,0.0,2.52,24,0.0,1.53,2.81,12.2,Friday,Winter,0,6.1
Villa,4,7,14,11.76,5.71,24,0.0,1.38,7.32,36.4,Monday,Summer,0,25.75
Independent House,4,3,6,5.85,10.01,24,1.94,1.7,4.7,37.4,Thursday,Summer,0,13.64
Apartment,1,4,10,1.43,0.74,24,0.57,1.25,8.4,16.1,Monday,Winter,0,7.03
Apartment,4,3,5,1.54,0.75,24,0.0,2.01,8.36,12.9,Monday,Winter,0,8.63
Villa,5,5,5,6.71,8.24,24,1.17,2.31,7.87,38.8,Saturday,Summer,1,20.99
Villa,5,9,12,5.45,10.05,24,0.0,2.15,9.86,38.4,Friday,Summer,0,18.3
Independent House,5,3,13,8.37,9.77,24,0.0,1.58,6.37,29.6,Wednesday,Summer,0,21.91
Apartment,2,3,14,2.32,0.0,24,0.0,0.69,6.72,16.6,Saturday,Winter,1,8.83
Apartment,4,3,11,0.0,7.22,24,0.0,1.97,7.09,25.3,Saturday,Spring/Autumn,1,7.16
Villa,6,9,9,8.17,11.53,24,1.08,2.16,9.7,39.3,Sunday,Summer,1,26.57
Villa,5,7,7,5.3,9.73,24,0.98,2.24,8.31,40.4,Monday,Summer,0,17.22
Villa,6,6,11,0.0,0.46,24,0.75,1.01,8.16,6.8,Saturday,Winter,1,7.32
Villa,1,9,12,3.68,8.34,24,0.88,1.57,6.47,,Thursday,Summer,0,60.22859785296019
Villa,6,7,11,7.56,10.12,24,0.0,2.08,5.62,46.2,Friday,Summer,0,21.32
Villa,4,5,7,7.4,10.87,24,0.96,1.7,3.83,27.6,Tuesday,Summer,0,18.6
Apartment,6,4,4,4.44,5.08,24,,1.06,6.82,23.3,Saturday,Spring/Autumn,1,12.74
Apartment,3,2,12,0.06,4.17,24,0.8,1.3,5.27,11.3,Tuesday,Winter,0,6.01
Independent House,1,3,5,9.68,10.18,24,,1.23,6.94,43.0,Tuesday,Summer,0,20.34
Apartment,3,2,10,0.0,4.13,24,0.0,0.93,6.21,11.1,Tuesday,Winter,0,4.64
Apartment,6,3,7,3.77,10.51,24,1.05,0.85,7.68,42.0,Monday,Summer,0,12.97
Apartment,7,2,8,10.69,7.53,24,0.0,0.64,6.02,44.7,Thursday,Summer,0,26.4
Independent House,6,6,14,1.35,6.79,24,1.82,1.39,6.05,22.0,Wednesday,Spring/Autumn,0,55.55820577389381
Independent House,6,6,10,0.0,2.9,24,0.0,0.74,8.44,16.5,Tuesday,Winter,0,6.49
Independent House,4,3,11,10.95,12.43,24,0.64,1.26,5.41,41.4,Saturday,Summer,1,23.21
Villa,1,7,9,8.91,5.07,24,0.0,2.15,6.84,,Monday,Summer,0,20.05
Independent House,2,5,9,3.56,5.38,24,1.83,0.92,7.01,24.6,Sunday,Spring/Autumn,1,12.78
Apartment,1,3,4,0.0,1.66,24,0.0,0.76,7.01,13.7,Friday,Winter,0,4.39
Apartment,5,4,11,0.53,7.09,24,0.0,1.0,7.51,26.1,Sunday,Spring/Autumn,1,8.02
Apartment,5,3,10,10.67,10.69,24,3.0,0.96,6.88,40.6,Saturday,Summer,1,26.74
Apartment,2,2,9,2.22,4.46,24,0.97,0.24,,13.7,Thursday,Winter,0,7.79
Independent House,6,4,12,0.0,0.67,24,0.81,2.18,6.26,6.9,Friday,Winter,0,7.13
Apartment,2,2,7,9.39,10.19,24,0.78,0.45,6.79,40.1,Wednesday,Summer,0,18.85
Apartment,3,3,6,8.77,9.28,24,1.08,0.28,5.7,39.7,Sunday,Summer,1,21.08
Independent House,6,4,11,0.76,1.8,24,0.76,1.81,6.08,13.2,Thursday,Winter,0,8.08
Independent House,7,6,6,0.77,7.11,24,0.0,1.35,5.72,25.8,Monday,Spring/Autumn,0,7.59
Villa,7,9,11,1.66,3.01,24,1.02,1.75,,7.1,Saturday,Winter,1,14.03
Apartment,4,2,8,1.31,7.88,24,0.56,0.72,4.09,22.8,Friday,Spring/Autumn,0,7.23
Villa,1,8,7,0.73,7.66,24,1.11,1.37,8.96,22.2,Wednesday,Spring/Autumn,0,8.03
Apartment,5,2,4,10.55,15.28,24,0.54,1.5,5.67,38.3,Sunday,Summer,1,27.39
Independent House,5,4,10,7.1,11.55,24,0.68,1.87,5.51,35.1,Wednesday,Summer,0,19.85
Independent House,5,4,12,0.0,1.74,24,0.0,0.97,7.59,9.0,Sunday,Winter,1,6.95
Villa,2,5,12,7.12,12.95,24,0.0,1.32,8.65,30.8,Sunday,Summer,1,18.29
Villa,3,9,5,1.36,0.09,24,0.0,1.9,8.43,13.8,Sunday,Winter,1,10.09
Independent House,4,6,12,10.18,9.08,24,0.0,0.84,5.94,39.6,Tuesday,Summer,0,20.37
Apartment,6,3,9,0.28,0.46,24,1.17,1.45,6.67,4.1,Monday,Winter,0,7.4
Apartment,5,4,10,0.81,8.39,24,0.0,0.84,5.86,25.5,Wednesday,Spring/Autumn,0,7.17
Villa,5,7,14,5.75,12.07,24,0.97,1.44,8.58,42.6,Wednesday,Summer,0,18.86
Apartment,1,2,12,1.59,10.37,24,1.48,0.67,4.91,37.6,Wednesday,Summer,0,7.06
Independent House,6,6,7,0.36,2.47,24,0.0,1.69,6.82,8.5,Tuesday,Winter,1,8.24
Apartment,5,2,4,6.95,8.75,24,0.0,1.57,8.59,33.8,Wednesday,Summer,0,16.72
Independent House,7,5,9,1.28,2.3,24,1.11,0.39,6.84,13.5,Tuesday,Winter,0,9.21
Villa,5,5,8,2.48,6.0,24,0.0,1.53,8.07,20.7,Sunday,Spring/Autumn,1,11.53
Apartment,1,4,7,2.28,6.47,24,0.63,1.39,,14.3,Friday,Spring/Autumn,0,9.16
Apartment,4,3,5,6.42,11.23,24,0.0,0.77,5.21,42.4,Saturday,Summer,1,17.41
Apartment,6,2,5,1.47,6.91,24,0.0,0.82,5.49,26.6,Monday,Spring/Autumn,0,7.97
Apartment,6,3,12,2.55,4.52,24,0.65,1.73,9.03,20.8,Friday,Spring/Autumn,0,11.04
Villa,7,7,4,2.21,3.73,24,0.67,2.31,6.51,25.3,Thursday,Spring/Autumn,0,11.95
Villa,3,6,12,7.31,7.21,24,1.08,2.24,8.9,36.8,Saturday,Summer,1,22.98
Apartment,6,3,10,8.45,11.56,24,0.0,1.43,3.92,41.0,Saturday,Summer,1,21.58
Independent House,6,3,5,6.79,10.17,24,2.16,1.04,7.13,35.6,Monday,Summer,0,17.81
Independent House,6,4,9,1.73,5.37,24,1.18,1.61,3.41,20.2,Sunday,Spring/Autumn,1,10.73
Independent House,6,5,10,6.95,12.41,24,0.0,1.59,10.3,35.1,Tuesday,Summer,0,18.82
Apartment,2,2,6,5.73,5.32,24,0.81,1.99,6.32,24.3,Wednesday,Spring/Autumn,1,16.06
Apartment,6,4,14,2.18,5.75,24,0.64,1.45,7.3,25.0,Tuesday,Spring/Autumn,0,50.69321402486633
Villa,1,8,6,2.56,5.75,24,2.14,2.03,7.67,22.6,Thursday,Spring/Autumn,0,10.88
Apartment,6,3,10,0.66,2.45,24,0.0,0.91,6.34,9.6,Saturday,Winter,1,7.39
Apartment,1,4,11,9.43,10.09,24,2.17,1.68,5.23,39.7,Sunday,Summer,1,22.18
Villa,6,9,5,8.01,8.13,24,1.09,2.01,9.49,33.0,Monday,Summer,0,23.25
Villa,6,7,9,3.52,3.02,24,0.68,2.21,8.77,26.3,Wednesday,Spring/Autumn,0,16.34
Independent House,7,4,7,3.06,4.48,24,0.71,1.54,7.08,16.1,Monday,Spring/Autumn,0,11.06
Independent House,7,4,6,5.97,5.95,24,0.0,1.3,6.82,30.6,Friday,Summer,0,17.31
Independent House,1,3,8,9.29,7.46,24,0.71,1.36,4.72,37.9,Sunday,Summer,1,17.96
Apartment,4,2,5,6.73,6.39,24,0.0,1.02,5.36,40.7,Friday,Summer,0,16.69
Independent House,7,4,10,0.29,3.36,24,0.0,1.21,5.99,9.9,Saturday,Winter,1,7.55
Apartment,7,2,12,1.11,4.92,24,0.0,1.7,5.51,24.4,Saturday,Spring/Autumn,1,9.22
Independent House,3,6,8,1.22,3.9,24,1.33,2.02,5.76,25.8,Monday,Spring/Autumn,0,8.48
Villa,5,7,8,3.16,6.0,24,0.78,0.93,5.25,18.7,Tuesday,Spring/Autumn,0,11.17
Apartment,5,4,11,0.0,0.15,24,0.93,0.9,4.44,,Monday,Winter,0,6.03
Independent House,2,6,10,1.27,9.22,24,0.99,1.78,9.78,24.6,Friday,Spring/Autumn,0,9.22
Apartment,7,4,8,3.53,9.07,24,0.0,2.0,5.42,33.3,Monday,Summer,0,14.67
Independent House,2,4,12,0.0,3.43,24,0.0,0.53,5.42,9.4,Tuesday,Winter,0,4.87
Villa,2,5,5,1.15,1.53,24,0.0,1.88,6.44,15.8,Thursday,Winter,0,7.31
Apartment,2,2,8,6.45,10.97,24,0.0,1.53,4.99,42.5,Thursday,Summer,0,16.32
Villa,1,9,4,2.18,6.47,24,0.0,1.43,8.48,21.2,Monday,Spring/Autumn,0,9.52
Independent House,1,6,14,0.74,4.75,24,0.0,1.22,8.95,,Friday,Spring/Autumn,0,6.74
Apartment,5,2,14,2.58,5.72,24,1.03,0.75,4.91,26.5,Sunday,Spring/Autumn,1,11.73
Villa,4,7,7,9.11,11.71,24,1.04,1.99,5.32,31.3,Tuesday,Summer,0,22.42
Independent House,4,5,9,10.82,7.2,24,0.0,1.78,8.28,41.7,Friday,Summer,0,22.46
Apartment,7,2,6,4.96,8.89,24,0.0,1.04,7.88,28.5,Monday,Summer,0,13.05
Independent House,6,5,14,2.99,1.81,24,0.0,1.93,5.62,19.1,Thursday,Spring/Autumn,0,11.0
Apartment,5,2,7,5.46,11.53,24,0.66,1.76,4.93,36.4,Thursday,Summer,0,15.55
Villa,2,6,11,9.47,8.92,24,0.0,1.2,8.61,22.7,Monday,Summer,0,19.82
Villa,5,7,5,1.03,7.4,24,0.93,1.9,10.27,24.2,Monday,Spring/Autumn,0,10.44
Apartment,1,4,10,10.6,9.05,24,0.0,2.22,5.07,40.3,Sunday,Summer,1,21.45
Apartment,4,2,13,5.24,11.92,24,1.19,1.17,7.78,34.6,Monday,Summer,0,16.71
Apartment,3,2,4,1.87,4.19,24,0.73,1.29,7.21,6.2,Friday,Winter,0,7.91
Independent House,6,3,8,4.74,11.93,24,0.0,1.04,5.34,39.4,Saturday,Summer,1,14.81
Independent House,4,6,4,0.0,1.12,24,1.9,1.5,7.75,7.6,Thursday,Winter,0,6.86
Apartment,6,3,11,0.0,3.72,24,0.68,1.15,7.5,14.0,Thursday,Winter,0,6.16
Independent House,6,5,12,1.27,0.62,24,0.0,1.25,5.26,14.9,Wednesday,Winter,0,7.64
Apartment,5,3,5,0.44,3.43,24,0.0,1.12,6.55,17.0,Monday,Winter,0,5.64
Apartment,2,3,4,6.81,6.98,24,0.0,1.16,6.59,28.3,Friday,Summer,0,14.69
Independent House,5,5,14,0.74,8.84,24,0.0,0.71,5.56,24.4,Friday,Spring/Autumn,0,7.16
Independent House,6,5,11,2.28,5.11,24,0.87,0.64,5.71,16.5,Friday,Spring/Autumn,0,10.4
Apartment,4,4,14,0.21,2.24,24,0.0,1.91,6.96,10.9,Saturday,Winter,1,7.67
Apartment,2,4,7,5.12,10.04,24,0.0,1.59,4.98,33.5,Tuesday,Summer,0,12.99
Apartment,2,4,8,1.72,6.99,24,0.93,1.25,6.57,25.3,Tuesday,Spring/Autumn,0,7.96
Apartment,3,2,4,0.53,7.62,24,0.58,1.47,,28.2,Thursday,Spring/Autumn,0,5.83
Independent House,5,5,12,6.05,11.2,24,0.0,1.85,4.6,36.8,Friday,Summer,0,17.25
Villa,4,6,7,3.63,6.67,24,2.36,0.35,6.63,26.3,Thursday,Spring/Autumn,0,12.37
Independent House,3,3,5,2.11,8.12,24,1.11,0.87,5.41,20.6,Monday,Spring/Autumn,0,9.2
Villa,1,9,6,1.31,6.17,24,0.58,1.6,8.37,30.6,Sunday,Spring/Autumn,1,10.04
Apartment,4,4,10,8.91,10.38,24,1.19,1.52,7.92,35.1,Saturday,Summer,1,23.58
Apartment,2,2,14,6.39,7.31,24,1.14,0.79,5.43,35.4,Thursday,Summer,0,14.9
Apartment,7,3,9,2.14,4.98,24,0.0,0.02,5.77,28.2,Sunday,Spring/Autumn,1,9.74
Apartment,2,2,9,0.24,6.93,24,0.73,0.92,8.16,19.8,Tuesday,Spring/Autumn,0,5.71
Apartment,4,3,14,1.85,3.68,24,0.97,0.46,6.85,18.9,Thursday,Spring/Autumn,0,7.64
Independent House,1,6,7,6.37,9.82,24,0.0,0.86,5.88,27.7,Thursday,Summer,0,15.99
Apartment,5,3,11,6.58,12.41,24,1.0,0.54,7.26,32.1,Tuesday,Summer,0,16.91
Apartment,4,3,6,0.66,1.31,24,0.0,1.51,6.46,13.2,Tuesday,Winter,0,6.74
Apartment,1,3,4,7.79,11.04,24,1.2,0.66,7.36,35.9,Friday,Summer,0,17.05
Apartment,6,2,10,4.49,4.56,24,0.0,1.67,5.33,32.5,Tuesday,Summer,0,13.9
Independent House,4,4,11,2.06,7.03,24,1.39,2.0,7.12,23.6,Monday,Spring/Autumn,0,10.84
Apartment,1,4,8,3.22,5.44,24,3.0,1.26,8.24,19.0,Saturday,Spring/Autumn,1,11.61
Apartment,7,2,13,10.49,9.44,24,0.58,1.41,4.6,38.4,Friday,Summer,0,22.66
Villa,4,9,10,3.03,6.97,24,0.57,1.74,6.39,18.2,Sunday,Spring/Autumn,1,14.06
Independent House,6,6,6,2.33,8.44,24,1.01,1.34,4.02,19.6,Sunday,Spring/Autumn,1,12.91
Independent House,6,6,12,2.56,6.82,24,0.0,1.91,8.03,18.3,Thursday,Spring/Autumn,0,12.15
Independent House,2,3,4,3.92,7.56,24,0.0,0.94,9.13,33.4,Monday,Summer,0,10.55
Apartment,5,2,6,1.02,6.53,24,0.0,1.22,6.1,28.6,Friday,Spring/Autumn,0,7.05
Villa,7,6,8,2.3,1.0,24,1.38,2.07,4.45,8.5,Wednesday,Winter,0,10.76
Apartment,6,3,11,8.01,9.21,24,1.16,1.18,4.62,35.1,Monday,Summer,1,21.82
Apartment,3,4,12,0.48,0.74,24,1.11,1.7,4.75,5.1,Sunday,Winter,1,7.08
Apartment,4,3,11,5.91,8.47,24,,1.16,5.29,42.4,Friday,Summer,0,14.39
Apartment,7,4,12,0.83,2.29,24,1.0,1.22,5.74,14.3,Wednesday,Winter,0,7.53
Apartment,4,3,14,2.99,7.58,24,0.0,1.53,6.96,23.9,Thursday,Spring/Autumn,0,11.83
Apartment,5,4,12,1.88,1.98,24,0.0,1.36,7.79,13.2,Sunday,Winter,1,10.56
Independent House,7,4,12,10.23,7.22,24,1.0,1.29,5.76,37.9,Saturday,Summer,1,28.87
Villa,6,7,12,1.04,3.07,24,1.71,2.9,6.7,14.9,Sunday,Winter,1,12.67
Villa,2,7,14,2.04,0.0,24,0.73,1.42,10.03,18.9,Sunday,Winter,1,10.04
Apartment,7,4,7,9.0,11.96,24,0.0,0.64,7.95,37.2,Sunday,Summer,1,120.84639504584258
Independent House,1,3,10,1.59,7.13,24,1.86,0.53,7.65,,Monday,Spring/Autumn,0,8.46
Apartment,5,4,4,0.57,5.16,24,0.0,1.7,3.1,14.2,Wednesday,Winter,0,6.43
Apartment,5,4,4,3.0,3.58,24,0.62,1.82,3.86,26.9,Friday,Spring/Autumn,0,10.28
Independent House,1,3,10,7.9,11.27,24,0.0,1.11,5.93,38.4,Saturday,Summer,1,19.25
Apartment,5,4,4,1.77,6.69,24,0.89,2.02,5.02,26.2,Tuesday,Spring/Autumn,0,10.47
Independent House,7,6,6,0.0,0.81,24,0.0,1.32,3.85,6.3,Tuesday,Winter,0,6.56
Apartment,7,4,4,0.0,1.85,24,0.0,1.59,7.63,9.0,Saturday,Winter,1,6.99
Apartment,7,4,13,0.0,4.08,24,0.63,1.47,6.04,12.2,Friday,Winter,0,6.95
Apartment,5,3,8,3.29,5.37,24,0.0,1.17,5.87,19.9,Tuesday,Spring/Autumn,0,10.55
Apartment,7,4,8,8.24,10.42,24,0.0,1.12,8.14,41.8,Saturday,Summer,1,23.92
Apartment,1,4,8,1.94,5.9,24,0.65,1.52,7.44,27.8,Thursday,Spring/Autumn,0,8.09
Apartment,5,3,12,0.33,2.13,24,0.0,1.29,,12.6,Thursday,Winter,0,5.98
Apartment,2,3,10,10.82,12.21,24,0.0,2.16,7.6,35.7,Tuesday,Summer,0,20.79
Independent House,2,3,9,2.12,8.12,24,2.23,1.42,6.37,17.7,Tuesday,Spring/Autumn,0,10.45
Independent House,1,5,9,0.99,5.95,24,0.86,2.09,8.22,21.8,Thursday,Spring/Autumn,0,7.27
Independent House,3,4,9,3.07,14.11,24,0.0,0.85,6.13,33.8,Tuesday,Summer,0,11.34
Apartment,6,4,9,6.98,9.65,24,0.0,2.07,7.27,38.9,Monday,Summer,0,22.72
Apartment,3,3,6,2.63,5.13,24,2.37,1.68,7.4,23.1,Wednesday,Spring/Autumn,0,12.29
Apartment,7,4,8,0.87,2.27,24,1.0,1.57,4.2,11.0,Friday,Winter,0,8.72
Apartment,6,2,6,4.75,11.23,24,0.0,0.77,5.68,39.7,Tuesday,Summer,0,13.7
Apartment,4,3,14,9.8,4.44,24,0.0,0.78,3.69,38.2,Friday,Summer,0,21.9
Apartment,4,2,5,6.52,9.51,24,0.97,1.55,6.21,37.7,Monday,Summer,0,17.87
Apartment,1,3,7,0.0,3.86,24,0.0,0.87,5.62,21.4,Thursday,Spring/Autumn,0,4.65
Apartment,1,4,8,0.0,3.71,24,0.61,0.76,3.18,9.9,Saturday,Winter,1,4.77
Apartment,2,2,13,7.21,15.36,24,1.65,0.96,7.17,31.2,Saturday,Summer,1,17.57
Independent House,1,5,5,11.36,12.93,24,0.0,1.22,4.75,43.5,Sunday,Summer,1,21.86
Apartment,5,2,13,0.0,0.0,24,0.0,1.56,3.95,12.0,Wednesday,Winter,0,5.59
Apartment,2,3,13,0.0,0.38,24,1.62,1.76,6.61,11.9,Monday,Winter,0,6.49
Villa,6,8,7,0.5,0.46,24,0.0,1.53,6.55,10.5,Wednesday,Winter,0,7.75
Apartment,5,4,5,2.98,4.26,24,0.0,1.36,5.55,23.3,Saturday,Spring/Autumn,1,11.58
Independent House,1,6,4,0.22,3.3,24,0.94,1.98,7.09,8.3,Thursday,Winter,0,6.7
Villa,2,9,5,7.03,9.63,24,0.61,1.1,9.63,37.8,Sunday,Summer,1,19.63
Villa,6,5,10,1.35,5.09,24,0.0,2.25,6.6,12.6,Saturday,Spring/Autumn,1,9.44
Independent House,3,6,8,0.0,5.16,24,0.0,1.36,6.24,34.1,Thursday,Spring/Autumn,0,6.12
Apartment,5,3,7,0.15,2.33,24,0.0,1.76,9.76,8.9,Monday,Winter,0,6.49
Apartment,3,4,13,9.28,8.83,24,1.75,1.9,5.89,37.5,Sunday,Summer,1,24.73
Independent House,4,6,10,0.96,5.04,24,0.0,0.92,5.57,5.6,Wednesday,Winter,0,7.94
Independent House,1,6,7,0.09,8.1,24,1.98,1.84,7.42,26.9,Friday,Spring/Autumn,0,7.2
Independent House,3,6,9,3.27,6.35,24,0.0,0.99,4.8,24.9,Monday,Spring/Autumn,0,10.47
Apartment,6,2,4,2.77,7.45,24,0.0,1.46,5.87,27.8,Wednesday,Spring/Autumn,0,11.15
Apartment,5,3,4,1.45,2.34,24,0.0,1.55,7.27,5.9,Friday,Winter,0,8.24
Apartment,5,3,5,0.0,0.68,24,2.31,0.61,7.42,11.7,Saturday,Winter,1,6.77
Apartment,6,4,8,3.75,8.89,24,1.01,1.42,5.59,46.2,Friday,Summer,0,13.72
Independent House,4,4,12,6.3,9.96,24,0.66,1.25,7.18,37.1,Friday,Summer,0,16.97
Independent House,1,4,11,11.19,7.98,24,0.0,1.35,6.44,29.6,Sunday,Summer,1,23.94
Apartment,7,3,6,4.52,4.71,24,1.58,1.51,4.29,26.1,Monday,Spring/Autumn,0,15.79
Apartment,2,3,12,6.12,9.96,24,0.0,1.2,8.62,42.6,Thursday,Summer,0,15.11
Apartment,6,2,14,0.11,1.34,24,0.0,1.39,8.16,16.9,Saturday,Winter,1,6.79
Villa,7,8,6,4.2,11.61,24,1.56,2.37,8.66,43.2,Tuesday,Summer,0,17.23
Apartment,2,4,8,0.82,2.27,24,0.0,1.35,5.92,15.0,Saturday,Winter,1,6.85
Apartment,7,4,4,3.09,4.27,24,0.0,2.25,7.25,30.7,Friday,Spring/Autumn,0,12.64
Apartment,6,3,7,3.46,5.25,24,0.56,1.89,5.82,26.1,Sunday,Spring/Autumn,1,13.44
Independent House,6,3,10,7.43,11.02,24,1.1,3.26,6.87,41.1,Monday,Summer,0,21.53
Villa,5,5,8,1.75,6.14,24,0.0,2.08,9.08,23.6,Sunday,Spring/Autumn,1,11.12
Villa,4,9,9,0.0,3.33,24,0.98,2.29,7.09,8.9,Monday,Winter,0,8.0
Apartment,1,4,9,2.39,8.21,24,0.0,1.64,8.56,17.8,Wednesday,Spring/Autumn,0,8.56
Apartment,7,2,8,4.96,10.25,24,0.67,0.58,4.88,32.6,Monday,Summer,0,14.59
Villa,7,8,5,6.1,11.31,24,0.6,1.85,8.49,34.1,Wednesday,Summer,0,21.13
Villa,7,6,5,6.01,12.11,24,0.96,1.51,7.77,42.8,Thursday,Summer,0,17.59
Independent House,7,6,7,0.0,6.58,24,0.0,1.62,6.27,18.7,Thursday,Spring/Autumn,0,7.8
Apartment,3,3,9,2.96,3.95,24,0.71,1.58,5.05,22.9,Sunday,Spring/Autumn,1,11.24
Apartment,1,4,14,1.2,8.44,24,0.0,0.96,5.37,26.0,Saturday,Spring/Autumn,1,8.2
Apartment,1,2,4,3.62,6.08,24,0.0,1.75,2.62,17.7,Thursday,Spring/Autumn,0,9.38
Independent House,4,6,14,0.77,5.98,24,1.07,0.86,8.76,22.5,Tuesday,Spring/Autumn,0,7.66
Villa,1,6,8,5.03,8.88,24,0.0,2.0,10.1,37.3,Sunday,Summer,1,14.14
Apartment,6,3,11,11.37,9.51,24,0.0,1.67,6.3,36.3,Wednesday,Summer,0,27.23
Independent House,7,4,12,3.3,8.62,24,1.85,1.43,9.57,18.7,Monday,Spring/Autumn,0,14.31
Apartment,2,3,5,2.96,1.71,24,0.0,1.45,9.14,12.2,Wednesday,Winter,0,9.89
Apartment,5,3,13,8.27,8.59,24,1.74,1.28,7.84,38.6,Wednesday,Summer,0,22.34
Apartment,6,2,7,5.88,8.4,24,1.43,0.53,6.46,32.6,Thursday,Summer,0,16.46
Villa,3,5,12,9.57,7.92,24,0.0,2.24,6.39,34.6,Friday,Summer,0,23.24
Apartment,3,3,6,1.2,4.18,24,1.09,1.24,7.73,5.0,Tuesday,Winter,0,8.28
Independent House,4,3,8,0.0,9.58,24,0.86,1.37,2.95,31.3,Monday,Spring/Autumn,0,6.26
Apartment,4,4,9,0.58,1.35,24,0.0,2.04,7.48,12.1,Wednesday,Winter,0,7.05
Villa,5,5,14,7.69,12.65,24,2.22,0.93,5.54,42.8,Friday,Summer,0,18.88
Apartment,1,2,6,2.05,7.3,24,0.0,0.38,5.33,20.6,Tuesday,Spring/Autumn,0,6.74
Independent House,6,6,10,0.0,1.7,24,1.34,2.63,5.14,9.7,Wednesday,Winter,0,8.4
Apartment,5,4,6,8.04,7.73,24,1.13,0.99,6.67,40.0,Saturday,Summer,1,20.8
Apartment,6,4,14,9.89,11.55,24,0.65,1.28,6.51,36.9,Saturday,Summer,1,25.23
Villa,1,6,11,5.86,13.85,24,0.0,1.05,4.35,35.2,Monday,Summer,0,14.57
Apartment,7,3,5,0.61,2.59,24,0.85,0.89,8.07,8.4,Tuesday,Winter,0,7.09
Apartment,1,4,6,1.44,7.29,24,0.0,1.68,6.05,24.5,Saturday,Spring/Autumn,1,8.67
Independent House,6,4,8,0.34,2.06,24,1.14,0.9,6.95,9.8,Friday,Winter,0,7.42
Apartment,1,4,4,1.75,6.0,24,0.0,1.48,8.22,20.8,Monday,Spring/Autumn,0,7.87
Apartment,5,3,9,0.88,4.03,24,0.0,1.64,4.95,13.2,Sunday,Winter,1,7.62
Independent House,7,5,8,1.46,4.44,24,1.06,2.08,6.32,15.9,Friday,Spring/Autumn,0,10.13
Independent House,5,3,13,0.62,2.76,24,1.17,1.72,6.4,,Friday,Winter,0,7.82
Apartment,6,2,10,0.38,2.33,24,1.1,0.82,4.81,9.9,Monday,Winter,0,7.07
Independent House,3,5,6,2.54,1.59,24,0.0,1.23,6.29,11.9,Monday,Winter,0,8.52
Villa,2,8,12,9.69,10.82,24,0.9,1.98,7.97,35.6,Sunday,Summer,1,22.81
Apartment,5,2,10,3.32,5.16,24,0.72,0.86,6.79,25.7,Wednesday,Spring/Autumn,0,10.94
Apartment,5,3,9,0.0,0.86,24,0.0,1.39,5.59,15.8,Saturday,Winter,1,6.62
Independent House,7,3,8,5.12,8.96,24,0.0,1.52,6.81,35.3,Wednesday,Summer,0,15.26
